"CodProd","CodMat","DesProd","CantMat"
EMP096005600650D94,PLA220021450007D94,PLACA 2200*2145 D94,1.340
EMP09800840003010C,PLA28001570000412C,PLACA 2800*1570 12C,0.670
EMP100000100050D92,PLA220021450007D92,PLACA 2200*2145 D92,0.130
EMP100000120100D92,PLA220021450007D92,PLACA 2200*2145 D92,0.300
EMP100010001000D98,PLA206010150007D98,PLACA 2060*1015 D98,12.000
EMP101008000500D92,PLA220021450007D92,PLACA 2200*2145 D92,1.000
EMP101008000905D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP101008000905D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP101010100756D98,PLA235023500007D98,PLACA 2350*2350 D98,0.670
EMP101010100756D98,PLA235023500007D98,PLACA 2350*2350 D98,0.670
EMP101600100050D92,PLA220021450007D92,PLACA 2200*2145 D92,0.130
EMP104008500500D98,PLA233011650007D98,PLACA 2330*2145 D98,0.500
EMP104008500500D98,PLA233011650007D98,PLACA 2330*2145 D98,0.500
EMP104008500505D94,PLA220021450007D94,PLACA 2200*2145 D94,0.500
EMP104008500505D94,PLA220021450007D94,PLACA 2200*2145 D94,0.500
EMP104008500600D94,PLA220021450007D94,PLACA 2200*2145 D94,0.680
EMP104008500600D94,PLA220021450007D94,PLACA 2200*2145 D94,0.680
EMP104008500800D98,PLA233011650007D98,PLACA 2330*2145 D98,1.000
EMP104008500910D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP104008500910D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP104008501000D92,PLA220021450007D92,PLACA 2200*2145 D92,2.000
EMP104008501000D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP104008501000D94,PLA220021450007D94,PLACA 2200*2145 D94,1.000
EMP105008500600D94,PLA220021450007D94,PLACA 2200*2145 D94,1.340
EMP105008500600D94,PLA220021450007D94,PLACA 2200*2145 D94,1.340
EMP105008500710D94,PLA220021450007D94,PLACA 2200*2145 D94,0.670
EMP105008500710D94,PLA220021450007D94,PLACA 2200*2145 D94,0.670
